ID,Gender,Age,Profile,Salary (GBP),Recency (1-36),Frequency,Monetary Score (1-100),Previous purchase,Latest purchase
75,Male,59,Standard,54000,28,12,47,P000283,P000284
76,Male,26,Standard,54000,14,4,54,P000206,P000226
77,Female,45,Business,54000,26,22,53,P000058,P000175
78,Male,40,Business,54000,35,12,48,P000185,P000270
79,Female,23,Business,54000,31,10,52,P000015,P000364
80,Female,49,Business,54000,34,13,42,P000060,P000151
81,Male,57,Standard,54000,7,10,51,P000230,P000177
82,Male,38,Business,54000,26,41,55,P000071,P000093
83,Male,67,Business,54000,23,6,41,P000084,P000189
84,Female,46,Business,54000,13,8,44,P000171,P000258
85,Female,21,Standard,54000,13,9,57,P000183,P000193
86,Male,48,Business,54000,7,12,46,P000230,P000002
87,Female,55,Business,57000,6,9,58,P000226,P000310
88,Female,22,Business,57000,3,1,55,P000193,P000012
89,Female,34,Business,58000,4,7,60,P000123,P000106
90,Female,50,Business,58000,31,12,46,P000178,P000369
91,Female,68,Business,59000,16,3,55,P000289,P000015
92,Male,59,Business,59000,28,10,41,P000067,P000232
93,Male,48,Standard,60000,28,14,49,P000144,P000271
94,Female,40,Business,60000,18,6,40,P000006,P000301
95,Female,32,Business,60000,15,2,42,P000244,P000290
96,Male,24,Standard,60000,31,1,52,P000038,P000066
97,Female,47,Standard,60000,32,1,47,P000356,P000034
98,Female,27,Student,60000,17,50,50,P000135,P000166
99,Male,48,Standard,61000,13,12,42,P000162,P000014
100,Male,65,Business,61000,35,26,49,P000134,P000057
101,Female,23,Standard,62000,3,29,41,P000108,P000050
102,Female,49,Business,62000,11,1,48,P000210,P000340
103,Male,67,Standard,62000,9,11,59,P000151,P000005
104,Male,26,Standard,62000,9,22,55,P000096,P000337
105,Male,49,Standard,62000,12,6,56,P000003,P000145
106,Female,21,Student,62000,1,11,42,P000163,P000056
107,Female,66,Business,63000,16,69,50,P000059,P000004
108,Male,54,Business,63000,23,14,46,P000107,P000286
109,Male,68,Standard,63000,14,1,43,P000229,P000225
110,Male,66,Business,63000,16,11,48,P000028,P000085
111,Male,65,Standard,63000,18,13,52,P000267,P000024
112,Female,19,Standard,63000,32,2,54,P000132,P000043
113,Female,38,Business,64000,3,1,42,P000244,P000070
114,Male,19,Standard,64000,4,3,46,P000332,P000018
115,Female,57,Business,65000,18,9,48,P000015,P000180
116,Female,19,Standard,65000,8,4,50,P000114,P000085
117,Female,18,Student,65000,1,5,43,P000143,P000154
118,Female,49,Standard,65000,35,9,59,P000133,P000001
119,Female,51,Standard,67000,16,10,43,P000334,P000167
120,Female,50,Standard,67000,11,5,57,P000307,P000050
121,Male,27,Standard,67000,9,7,56,P000081,P000048
122,Female,38,Business,67000,3,6,40,P000328,P000348
123,Female,40,Standard,69000,17,4,58,P000025,P000069
124,Male,39,Standard,69000,22,5,91,P000310,P000130
125,Female,23,Student,70000,12,12,29,P000170,P000358
126,Female,31,Student,70000,25,11,77,P000242,P000137
127,Male,43,Business,71000,22,31,35,P000063,P000169
128,Male,40,Business,71000,12,9,95,P000347,P000146
129,Male,18,Student,71000,14,2,11,P000128,P000082
130,Male,38,Standard,71000,9,11,75,P000217,P000032
131,Male,47,Standard,71000,17,13,9,P000215,P000201
132,Male,39,Business,71000,26,18,75,P000144,P000059
133,Female,25,Business,72000,25,14,34,P000044,P000347
134,Female,31,Standard,72000,19,6,71,P000292,P000045
135,Male,20,Standard,73000,16,12,5,P000077,P000293
136,Female,29,Student,73000,9,7,88,P000140,P000223
137,Female,44,Standard,73000,27,3,7,P000197,P000336
138,Male,32,Business,73000,29,12,73,P000172,P000055
139,Male,19,Standard,74000,18,3,10,P000307,P000241
140,Female,35,Standard,74000,15,10,72,P000182,P000310
141,Female,18,Student,75000,1,25,5,P000312,P000007
142,Male,32,Standard,75000,29,7,93,P000215,P000031
143,Female,28,Student,76000,11,10,40,P000102,P000356
144,Female,32,Business,76000,25,10,87,P000234,P000163
145,Male,25,Student,77000,8,1,12,P000013,P000239
146,Male,28,Standard,77000,4,8,97,P000115,P000093
147,Male,48,Standard,77000,32,13,36,P000079,P000275
148,Female,32,Business,77000,5,10,74,P000363,P000026
149,Female,34,Business,78000,29,11,22,P000198,P000108
150,Male,34,Business,78000,14,1,90,P000222,P000306
151,Male,43,Business,78000,34,81,17,P000087,P000163
152,Male,39,Business,78000,34,1,88,P000206,P000084
153,Female,44,Standard,78000,6,8,20,P000178,P000335
154,Female,38,Standard,78000,18,6,76,P000211,P000180
155,Female,47,Standard,78000,17,7,16,P000174,P000177
156,Female,27,Student,78000,17,8,89,P000141,P000221
157,Male,37,Business,78000,8,4,1,P000344,P000282
158,Female,30,Business,78000,23,13,78,P000117,P000304
159,Male,34,Business,78000,36,4,1,P000240,P000165
160,Female,30,Business,78000,36,1,73,P000278,P000232
161,Female,56,Business,79000,15,28,35,P000014,P000291
162,Female,29,Student,79000,12,16,83,P000168,P000048
163,Male,19,Student,81000,34,7,5,P000357,P000183
164,Female,31,Standard,81000,7,9,93,P000045,P000187
165,Male,50,Business,85000,16,5,26,P000147,P000275
166,Female,36,Standard,85000,8,8,75,P000143,P000244
167,Male,42,Standard,86000,8,1,20,P000158,P000103
168,Female,33,Standard,86000,10,12,95,P000038,P000211
169,Female,36,Business,87000,23,19,27,P000034,P000186
170,Male,32,Business,87000,18,10,63,P000348,P000249
171,Male,40,Business,87000,30,19,13,P000214,P000017
172,Male,28,Standard,87000,8,3,75,P000020,P000327
173,Male,19,Standard,87000,10,1,10,P000002,P000275
174,Male,36,Business,87000,4,1,92,P000209,P000008
175,Female,52,Standard,88000,10,11,13,P000184,P000305
176,Female,30,Student,88000,16,1,86,P000125,P000082
177,Male,58,Standard,88000,21,10,15,P000315,P000069
178,Male,27,Business,88000,8,1,69,P000262,P000307
179,Male,59,Standard,93000,5,7,14,P000100,P000014
180,Male,35,Business,93000,21,9,90,P000058,P000226
181,Female,37,Business,97000,13,39,32,P000118,P000298
182,Female,32,Business,97000,2,8,86,P000202,P000149
183,Male,46,Business,98000,29,1,15,P000188,P000349
184,Female,29,Standard,98000,3,16,88,P000036,P000158
185,Female,41,Business,99000,8,137,39,P000339,P000285
186,Male,30,Standard,99000,12,7,97,P000007,P000013
187,Female,54,Standard,101000,22,2,24,P000155,P000098
188,Male,28,Student,101000,24,7,68,P000271,P000270
189,Female,41,Standard,103000,31,14,17,P000362,P000007
190,Female,36,Business,103000,29,9,85,P000097,P000255
191,Female,34,Business,103000,8,2,23,P000142,P000137
192,Female,32,Standard,103000,32,8,69,P000281,P000153
193,Male,33,Business,113000,21,10,8,P000045,P000081
194,Female,38,Business,113000,10,9,91,P000194,P000362
195,Female,47,Business,120000,32,4,16,P000086,P000008
196,Female,35,Standard,120000,35,22,79,P000136,P000007
197,Female,45,Standard,126000,10,9,28,P000031,P000205
198,Male,32,Business,126000,14,11,74,P000145,P000041
199,Male,32,Standard,137000,36,2,18,P000293,P000268
200,Male,30,Student,137000,6,14,83,P000167,P000365
